Question Title,Subject,Topic,Difficulty,Exam Type,Question ID,Practice Link,Resource Type
Abbreviation,PYTHON,Data Processing,medium,GrPA,79dfbf8e-be5c-4dbb-a9c2-398c86414bed,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Abbreviate And Sort Names,PYTHON,Data Processing,medium,OPPE 2,02479ccb-2e9c-4f34-8eb4-13d54948c64a,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Add A Total Key,PYTHON,Data Types & Basics,easy,OPPE 2,07722d21-564b-4c28-98a1-1fbe072a731b,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Accounts Above Threshold,PYTHON,I/O Based Problem Solving,hard,OPPE 2,6452ad3e-8170-4319-8f36-ec6d970f6efa,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Abs Diff Between Sum And Sum Of Squares,PYTHON,Data Types & Basics,easy,OPPE 1,ac5ed29b-f427-4ddf-b56b-dae6757b0958,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Airline Delay Summary,PYTHON,I/O Based Problem Solving,hard,OPPE 2,7fc0f16a-ea04-4897-9726-3b640671d168,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Build A Word From Selected Characters,PYTHON,Data Processing,medium,OPPE 2,959ada7a-fcf6-4a67-9353-f45c8b6dd81e,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Build A Dict From Two Lists,PYTHON,Data Types & Basics,easy,OPPE 2,da1dd642-ced9-414a-aed0-1371dac11c13,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
All But the First,PYTHON,Data Types & Basics,hard,PPA,aa4cd318-10ae-470e-8c79-a57daf9dc740,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Clamp Grid Values,PYTHON,Data Processing,medium,OPPE 2,0b6f4f0a-c321-4262-9876-d66a6f1aea1f,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Category Spend Totals,PYTHON,I/O Based Problem Solving,hard,OPPE 2,14ea0be4-87f9-4dfa-b979-b3b71d059c98,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Case-Insensitive Prefix Check,PYTHON,Data Types & Basics,easy,OPPE 2,6e2f0219-e4ba-4726-a377-92120e153051,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
All But the Last,PYTHON,Data Types & Basics,hard,PPA,6ba238da-771a-456a-8a9e-b73fc6c7aa8e,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Column Sums Of A Matrix,PYTHON,Data Processing,medium,OPPE 2,1622bb42-6ca7-4cb7-81f2-fb15d930d52b,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Case-Insensitive Suffix Check,PYTHON,Data Types & Basics,easy,OPPE 2,8d264235-07a4-40b0-9198-abfa202465c3,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Course Pass Rates,PYTHON,I/O Based Problem Solving,hard,OPPE 2,9acb98ec-e3be-4c9c-a44e-3b039b76e29b,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Alternate Case,PYTHON,I/O Based Problem Solving,easy,OPPE 1,4b297759-3e88-457d-8f5a-97a4e1de8101,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Clamp Value,PYTHON,Data Types & Basics,easy,OPPE 2,a3dcd3af-7833-41cc-b659-3d718c649773,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Count Palindrome Words,PYTHON,Data Processing,medium,OPPE 2,b8ba05ff-9231-4d12-973f-98c10c5d3ea3,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Department Salary Leaders,PYTHON,I/O Based Problem Solving,hard,OPPE 2,e58d5d25-2ab9-4d21-b0fe-38772e97eded,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Alternate The Path,PYTHON,Data Processing,hard,GrPA,93abbfed-e28c-4b5e-8b66-14f9cede96f1,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Count Strings With Length Divisible By K,PYTHON,Data Processing,medium,OPPE 2,1bef7348-e0b5-47d1-bea2-fef9ac4baaed,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Combine First And Last Character,PYTHON,Data Types & Basics,easy,OPPE 2,2439cece-61b0-49ee-ae57-cecaac878b66,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Genre Page Totals,PYTHON,I/O Based Problem Solving,hard,OPPE 2,876a115a-6a44-4c35-be92-0af33b83a9fc,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Alternating Elements,PYTHON,Data Processing,easy,OPPE 1,3b97b35f-aab1-4aad-8181-98236643aaac,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Count Character Occurrences,PYTHON,Data Types & Basics,easy,OPPE 2,42f6cff4-c722-41f7-a82c-cb19ed33e825,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Digit Sums Of A List,PYTHON,Data Processing,medium,OPPE 2,5fb1b3e5-5d49-4a51-9152-bc9d3f93ae74,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Hot Products By Recent Sales,PYTHON,I/O Based Problem Solving,hard,OPPE 2,f5f35ccc-ebe6-420b-8ec6-362cfb6f009a,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Antakshari Chain,PYTHON,I/O Based Problem Solving,hard,OPPE 1,2521197f-e854-4d13-bf9a-7ff869fe47ef,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
Digit Sum,PYTHON,Data Types & Basics,easy,OPPE 2,5fab7c46-c0e5-4d77-9b33-9338eb68b8ba,https://oppepractice.iitmbsdegree.in/app/subjects/python,previous_paper
All jersey colours in use,DBMS,OPE SQL Questions,easy,OPPE,35c63a4d-ed80-4359-91ce-4bc3aa1f41f1,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Books by publisher,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,9b7be979-472f-4777-a9c5-7f23b70c3528,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Book age in years,DBMS,OPE SQL Questions,easy,OPPE,a3bb3b5b-ad83-4da1-88db-facd953c8434,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Books per Publisher,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,1a820592-3cfa-48c1-8a16-39cd79f9e9cd,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Book copies and their titles,DBMS,OPE SQL Questions,easy,OPPE,b90f8c50-db3b-483a-aa56-a56c9262d579,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Count Students in a Department,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,90678708-6808-4e6e-9dd0-25c2bead9ded,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Computer Science courses,DBMS,OPE SQL Questions,easy,OPPE,c61e13fe-3472-4b39-a888-80254c63a9c0,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Course Catalog Lookup,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,754a6a17-0fc7-4ace-b641-924994d770e2,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Contact numbers of students and faculty,DBMS,OPE SQL Questions,easy,OPPE,d69752cc-7659-4915-ba76-0d68e8fc1678,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Courses Offered by a Department,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,550b936c-4c9a-4022-b909-61ba45c46dc2,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Copies held per book,DBMS,OPE SQL Questions,easy,OPPE,2edf3694-dd7c-45d7-a0ac-0cecc4ae7411,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Courses Taught by a Department's Instructors,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,3d9e36b9-93e8-4f90-a42f-ade9da3a886a,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Courses mentioning machine (case-insensitive),DBMS,OPE SQL Questions,easy,OPPE,2c7693fe-9802-46fd-af84-8bdf98b4c350,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Department Details by Name,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,564d3846-53e2-4435-b89b-dfd5d917222d,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Distinct home jersey colours,DBMS,OPE SQL Questions,easy,OPPE,264dcfbf-436f-4f6f-82c5-9d6a2bc9e07b,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Department Office Lookup,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,2868dada-abdf-4024-884e-b66a6436b1a5,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Every team appearance across matches,DBMS,OPE SQL Questions,easy,OPPE,da3a1a0e-4d60-42c8-b612-9de9d7c117b5,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Instructors of a Department by Salary,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,ef72d4fc-b9cf-4049-8a20-d5700257bf91,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Highest host score in any match,DBMS,OPE SQL Questions,easy,OPPE,957b78c0-612a-4eb7-8b7d-a46395a8420d,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Roster of a Team,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,acc38396-f1be-4ac8-8f87-192360b419c9,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Home goals scored per host team,DBMS,OPE SQL Questions,easy,OPPE,8229c773-d3e5-425a-996c-eff13b2873cb,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Squad Roster by Jersey Number,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,aa13d9e6-de7f-4755-b5f4-454098a451d0,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Instructor monthly salary,DBMS,OPE SQL Questions,easy,OPPE,2fc38f10-f745-400d-bf11-e410d61c9908,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Squad size of a team,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,5ece95d3-3bb9-4fb4-9c08-d99a7a5b82a9,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Instructor names in uppercase,DBMS,OPE SQL Questions,easy,OPPE,19fb7d3a-a52a-425e-a6c1-f02bd54ee179,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Team by home city,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,d2cc7b39-4884-433a-bb16-f2480d3ffe34,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Instructors above the overall average salary,DBMS,OPE SQL Questions,easy,OPPE,212d261f-cdbb-4cf7-b5a7-80a227219de8,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Team jersey colors,DBMS,OPE Python-PostgreSQL Questions,easy,OPPE,35c66e3f-e406-42ec-8790-a37fb3ee67d6,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
Instructors and their department building,DBMS,OPE SQL Questions,easy,OPPE,af871042-e073-4d36-8ed3-daa19fd440c5,https://oppepractice.iitmbsdegree.in/app/subjects/dbms,previous_paper
